text,label
"kayn shwiya dstress walakin n9der nseyer lwa9t",52
"kanhess brasi mshghoula walakin masaybach liya l7al",60
"lyouma kayn daght shwiya f lkhadma",55

"I feel calm and relaxed",20
"I am enjoying a peaceful moment",18    
"Everything feels fine today",15
"I am in a good mood",22
"My mind is clear and relaxed",17
"Today I feel peaceful",16
"My stress level is low",25

"Je profite de la journée",19
"Je me sens léger et détendu",14         
"Rien ne me stresse pour l'instant",12
"Je respire tranquillement et je me sens bien",10
"Je suis détendu après ma méditation",15
"Je prends une pause et je me sens bien",18

"كنحس بالكالم والارتياح",20
"كنحس براسي مرتاح",22
"أنا راشقة ليا",22 
"كنحس براسي سعيد ومطمئن",18             
"تا حاجة ما مسطريسياني دابا",12
"كنحس براسي مرتاح بزاف",14
"كانحس براسي خفيف ومرتاح" ,14
"كنحس براسي مرتاح ومفرح",16
"خديت واحد لبوز وكانحس براسي بيخير",18

"أشعر بالهدوء والراحة النفسية اليوم",12
"حالتي النفسية مستقرة وأشعر بالاطمئنان",15
"أعيش يومي بهدوء دون أي ضغط",10
"أشعر بالسلام الداخلي والراحة",13               
"ذهني صافٍ وأشعر بالاسترخاء",14
"لا أعاني من أي توتر في الوقت الحالي",11
"أشعر بالسعادة والطمأنينة",17

"Kanhass b lcalme w lirtiya7",20 
"lyouma kanhess brasi frhana bezef",22
"Ana rache9a lia",22
"kanhess brasi merta7a w rassi fargh",19
"lyouma kolchi mzyan w mafiya ta stress",10
"kan3ich nhari b hado2 w raha",12
"Ta 7aja ma mstressyani daba",12
"rassi hani w kanhess b salam dakheli",14
"Kan7ess brassi khfif w mertah",14
"kanhess brasi far7ana w mrat7a",18
"Khdit wa7ed lpause w kan7ess brassi bighir",18
"lyouma kanhess brasi frhana bezef walakin eandi wahd shwiya dlqalaq",28
"Feeling calm ومرتاح اليوم",20
"Everything is calm والحمد لله",15
"اليوم بلا ضغط وبلا توتر",10

"Je suis très stressée aujourd'hui et I can't relax at all", 92 
"Je me sens vraiment stressée today and I can't calm down", 92
"Je suis nerveuse en ce moment and I can't find peace", 92

"Je me sens un peu stressée today but I can still manage", 30
"Je ressens de la pression sometimes and I feel slightly overwhelmed", 56
"Je suis un peu tendue aujourd'hui but I can relax sometimes", 43
"Je me sens légèrement anxieuse but I'm mostly okay", 31

"My deadlines are overwhelming وكنحس براسي محاصر فالخدمة", 90
"ماقادش نرتاح ݣاع and I feel exhausted", 91
"عندي بزاف ديال المشاريع وما عرفتش منين نبدا, my deadlines are overwhelming", 96

"الوقت ماشي ضايق بزاف et j'ai encore du temps pour moi", 13
"الوقت كيدوز بسرعة et j'arrive encore نرتاح شوية", 23
"كنحس بشوية ديال الضغط et parfois je manque de temps", 33
"الوقت ولا ضايق عليا et je commence à manquer de temps pour moi", 65

"الوقت ضايق بزاف et je n'ai pas le temps pour moi", 88

"أشعر بالقلق الشديد هذه الأيام",85
"أحتاج إلى راحة من كل شيء",90
"I can't sleep because of anxiety",98

"أشعر أنني محاصر بالمسؤوليات",87

"I can't sleep because of anxiety",85
"كنخمم بزاف وماكنقدرش نركز",94
"كنخمم بزاف وماكنقدرش نركز",96
"أشعر بالضغط في حياتي اليومية",97
"أشعر بالضغط في حياتي اليومية",88
"I overthink and can't focus",90
"Je suis au bord de l'épuisement",86
"I'm constantly exhausted",86
"Je n'arrive pas à dormir à cause de l'anxiété",95
"كنخمم بزاف وماكنقدرش نركز",86
"Je n'ai pas le temps worried et أنا مرهق",66
"كنخمم بزاف et I can't stressed",99
"كنحس براسي tired et Je suis dépassé",85
"كنحس براسي exhausted et Je suis angoissé",66
"أشعر بالضغط stressé et drained",100
"My deadlines sont trop stressé وكنحس براسي مهلوك",88
"Je n'arrive pas à dormir à cause de drained",94
"m overwhelmed متوتر et je suis pression",63
"Je pense trop et I feel anxious",37
"Je n'arrive pas à dormir à cause de tired",97
"كنفيق قلق et I feel exhausted",97
"Je suis au bord de pression وكنحس براسي مهلوك",91
"Je suis au bord de dépassé وكنحس براسي محبط",21
"Je pense trop et I feel tired",31
"أنا متوتر et Je suis épuisement",59
"كنخمم بزاف et I can't anxious",67
"كنعيش فواحد pression constant",65
"Je n'ai pas le temps exhausted et أنا قلق",35
"كنحس براسي drained et Je suis pression",21
"My deadlines sont trop inquiet وكنحس براسي مهلوك",96
"Je n'ai pas le temps overwhelmed et أنا قلق",98
"Je n'ai pas le temps tired et أنا محبط",70
"Stress m'a fatigué et أنا قلق",85
"أنا تعبان et Je suis pression",60
"Je suis dépassé mais I can't worried",37
"Je suis stressed et خايفة من مرهق",89
"Je suis dépassé et I feel overwhelmed",57
"كنفيق تعبان et I feel anxious",64
"أنا مرهق et Je suis épuisé",90
"Je suis worried et خايفة من قلق",40
"كنحس براسي drained et Je suis inquiet",50
"أنا قلق et Je suis fatigué",29
"أشعر بالضغط inquiet et stressed",87
"كنفيق مكتئب et I feel overwhelmed",94
"I can't sleep بسبب dépassé",26
"Je suis un peu fatigué mais ça va",69
"I feel a bit anxious but manageable",62
"كنفيق شوية عيانة ولكن كنقدر نكمل نهاري",61
"Sometimes I feel under pressure but I can handle it",50
"Je ressens un léger stress au travail",69
"كنعيش فواحد الضغط خفيف",56
"أشعر ببعض القلق لكن ليس بشكل دائم",62
"I feel tired after work but it's normal",50
"Je suis un peu dépassé mais je gère",52
"كنحس براسي مرهق شوية",59
"I get anxious sometimes but I breathe through it",70
"Je suis stressé par moments mais ça passe",64
"كنخمم بزاف ولكن كنحاول نرتاح",58
"أشعر بالإرهاق بعد يوم طويل",70
"Je me sens un peu sous pression",64
"I feel a little overwhelmed with tasks",59
"كنفيق شوية تعبان",66
"Je suis un peu inquiet pour demain",65
"أحتاج إلى بعض الراحة فقط",62
"كنعيش فواحد الضغط خفيف ولكن ماشي مشكل",62
"I feel slightly stressed before meetings",62
"كنحس براسي مقلق شوية",62
"أشعر ببعض التعب فقط",63
"Je ressens un peu de fatigue",64
"كنفيق مقلق ولكن كندوز النهار",55
"I feel a bit of pressure lately",54
"Je suis un peu stressé par les délais",55
"كنحس براسي مرهق ولكن ماشي بزاف",62
"Sometimes I feel tired but it's okay",56
"Je suis un peu fatigué après le travail",53
"كنعيش فواحد الضغط متوسط",54
"Je me sens parfois dépassé",52
"أشعر بالإرهاق أحيانًا",50
"كنحس براسي overwhelmed شوية",69
"I feel a little tired these days",64
"Je suis un peu inquiet pour mes projets",67
"كنفيق شوية مقلق",59
"Je suis un peu fatigué mentalement",55
Je me sens un peu stressé au travail",62
"كنحس براسي tired شوية",63
"Je suis un peu fatigué mais ça va aller",60
"I feel a little pressure at school",58
"Je suis un peu stressé par les examens",65
"كنعيش فواحد الضغط ولكن ماشي بزاف",60
"Je me sens parfois fatigué",59
"أشعر ببعض التعب في الصباح",64
"Je suis un peu stressé mais je gère",61
"I feel a bit anxious in the morning",57
"Je suis un peu fatigué après les cours",52
"كنحس براسي tired ولكن كنضحك",54
"Je suis un peu dépassé par mes tâches",50
"أشعر ببعض القلق في بعض الأحيان",55
"كنفيق شوية anxious",65
"Je ressens un stress léger",60
"I feel a bit of pressure but it's fine",61
"Je suis un peu stressé par mes responsabilités",66
"Je me sens un peu fatigué ces jours-ci",70
"أشعر ببعض التعب لكن أتحمله",70
"كنحس براسي tired ولكن كنقاوم",66
"Je suis un peu inquiet mais ça va",67
"I feel a bit anxious before presentations",56
"كنعيش فواحد الضغط ولكن ماشي بزاف",61
"Je me sens parfois dépassé mais ça passe",50
"أشعر ببعض القلق في بعض الأيام",66
"كنحس براسي شوية overwhelmed",65
Je me sens un peu stressé mais je respire",63
"كنفيق شوية inquiet but I can handle it",29
"I feel a bit pressure mais ماشي بزاف",31
"Je suis un peu مقلق mais ça passe",33
"كنعيش فواحد stress léger mais normal",36
"أشعر ببعض fatigue mais it's okay",28
"Je suis un peu worried mais بخير",30
"كنحس براسي anxious شوية mais manageable",34
"Sometimes Je suis stressed mais ça va",35
"أنا شوية tired mais بخير",29
"Je ressens un léger pressure mais I'm fine",32
"كنفيق شوية مقلق mais normal",31
"I feel a little anxious mais manageable",30
"Je suis un peu fatigué mais ça va",28
"كنعيش فواحد الضغط خفيف mais بخير",33
"أشعر ببعض stress mais manageable",34
"Kanhsse brassi mqlq shwiya mais ça va",28
"Kan3ich f stress khfif mais okay",33
"Kanhsse tired shwiya mais ça va",34
"Kanfiq shwiya mqlq mais okay",32
"Kanhsse brassi anxious shwiya mais okay",29
"Kanhsse tired shwiya mais ça va",31
"Je ressens un peu fatigue mais okay",29
"كنفيق شوية tired mais manageable",33
"Je suis un peu inquiet mais ça va",35
"Sometimes kanhsse anxious mais okay",32
"Je suis un peu fatigué mais بخير",30
"أشعر بشوية tired mais manageable",28
"Je suis un peu sous pression mais ça passe",34
"I can't stop thinking about my failures.",92
"Je suis stressé par les erreurs ديالي.",84
"كنعيش فواحد القلق اللي كيخليني ننعزل.",71
"كنحس براسي overwhelmed et خايفة من الغد.",66
"I can't relax even when I'm free.",78
"Je suis stressé par les deadlines.",78
"I feel like I'm stuck.",82
"Je suis épuisé par les journées المتكررة.",80
"I can't stop worrying.",96
"Je suis un peu dépassé par les événements",66
"I feel slightly anxious",63
"Je suis un peu inquiet pour l'avenir",60
"كنعيش فواحد الضغط ولكن كنقاوم",62
"أشعر ببعض القلق في الليل",60
"كنحس براسي tired شوية",63
"Je suis tellement exhausted these days",90
"I'm overwhelmed مرهق et je suis pression",87
"Je suis épuisement et I feel tired",93
"كنخمم بزاف et I can't exhausted",99
"أنا محبط et Je suis dépassé",68
"Stress m'a stressé et أنا مرهق",89
"Je suis au bord de pression وكنحس براسي تعبان",85
"Stress m'a inquiet et أنا تعبان",87
"أنا قلق et Je suis inquiet",51
"My deadlines sont trop dépassé وكنحس براسي قلق",97
"My deadlines sont trop dépassé وكنحس براسي مضغوط",89
"أنا مهلوك et Je suis épuisé",55
"Stress m'a stressé et أنا متوتر",94
"Je suis au bord de pression وكنحس براسي قلق",92
"Stress m'a angoissé et أنا مرهق",92
"My deadlines sont trop épuisement وكنحس براسي قلق",95
"I can't sleep بسبب épuisé",86
"Je suis tellement burned out these days",31
"Je n'ai pas le temps exhausted et أنا مهلوك",96
"Je suis exhausted et خايفة من مهلوك",98
"كنخمم بزاف et I can't overwhelmed",53
"My deadlines sont trop épuisé وكنحس براسي متوتر",69
"Je suis au bord de dépassé وكنحس براسي مضغوط",97
"I'm overwhelmed متوتر et je suis fatigué",89
"كنحس براسي overwhelmed",91
"كنفيق متوتر et I feel anxious",86
"Stress m'a angoissé et أنا متوتر",95
"أشعر بالضغط angoissé et stressed",92
"I feel extremely anxious these days",94
"Je ressens une pression constante",97
"أشعر بالإرهاق طوال الوقت",97
"كنعيش فواحد الضغط يومي",87
"كنفيق مكتئب et I feel tired",38
"I'm feeling angoissé وكنبكي بزاف",91
"I can't sleep بسبب épuisement",92
"Stress m'a angoissé et أنا محبط",86
"Je n'arrive pas à dormir à cause de anxious",62
"Je suis fatigué mais I can't overwhelmed",85
"كنحس براسي stressed et Je suis épuisement",89
"Je suis épuisé et I feel worried",95
"Je suis inquiet mais I can't burned out",65
"Je suis anxious et خايفة من متوتر",99
"I can't sleep بسبب pression",87
"كنحس براسي burned out",53
"أشعر بالضغط inquiet et burned out",95
"Stress m'a pression et أنا مهلوك",88
"Je suis épuisé et I feel tired",92
"Je suis au bord de dépassé وكنحس براسي تعبان",90
"كنخمم بزاف et I can't tired",25
"Je n'arrive pas à dormir à cause de exhausted",87
"كنفيق تعبان et I feel tired",32
"كنفيق قلق et I feel stressed",91
"أشعر بالضغط épuisé et worried",94
"كنعيش فواحد inquiet constant",91
"Je pense trop et I feel exhausted",94
"Je suis tellement drained these days",40
"Je suis stressé et I feel overwhelmed",91
"كنحس براسي stressed",98
"Je n'ai pas le temps burned out et أنا متوتر",96
"Je suis drained et خايفة من مكتئب",59
"كنفيق مهلوك et I feel overwhelmed",95
"Je suis au bord de pression وكنحس براسي مضغوط",94
"كنخمم بزاف et I can't burned out",97
"أشعر بالضغط pression et stressed",87
"Je suis au bord de épuisement وكنحس براسي مرهق",94
"I can't sleep بسبب angoissé",68
"كنحس براسي anxious et Je suis épuisé",86
"Stress m'a pression et أنا محبط",99
"Stress m'a épuisement et أنا مكتئب",92
"I'm overwhelmed مكتئب et je suis angoissé",61
"Je suis fatigué et I feel anxious",63
"أشعر بالضغط fatigué et tired",97
"كنحس براسي drained et Je suis fatigué",93
"أنا مضغوط et Je suis épuisement",99
"كنفيق تعبان et I feel drained",85
"Je suis fatigué et I feel burned out",92
"My deadlines sont trop fatigué وكنحس براسي متوتر",93
"Je suis épuisement et I feel stressed",54
"Je suis overwhelmed et خايفة من مضغوط",86
"Je suis pression et I feel anxious",63
"I'm overwhelmed متوتر et je suis épuisé",99
"Je suis stressé mais I can't drained",96
"Je ressens parfois une pression légère",57
"أشعر ببعض التوتر في العمل",62
"كنعيش فواحد الضغط ولكن كنحاول نرتاح",56
"I feel a bit of stress before exams",61
"كنحس براسي tired ولكن كنخدم",54
"أشعر ببعض التعب في نهاية الأسبوع",59
"Je me sens parfois stressé",60
"كنعيش فواحد الضغط خفيف فالدراسة",57
"I feel a bit anxious about the future",63
"Je suis un peu stressé ces jours-ci",60
"كنحس براسي مقلق ولكن كنحاول نرتاح",55
"أشعر ببعض الإرهاق بعد العمل",70
"Je ressens un stress modéré",50
"كنفيق شوية مرهق",51
"Je suis un peu inquiet mais je reste calme",54
"I feel a bit anxious but I try to relax",61
"Je suis un peu dépassé mais je fais de mon mieux",70
"Je me sens un peu stressé mais je respire",63
"أشعر ببعض القلق ولكن أحاول أن أهدأ",60
"كنحس براسي شوية tired mais ça va",32
"Je suis un peu anxious mais بخير",28
"Sometimes كنكون stressed mais manageable",35
"أنا شوية fatigué mais je gère",30
"Je me sens légèrement overwhelmed mais بخير",34
"I'm mentally drained from all the meetings",82
"أحتاج إلى عطلة لأسترجع طاقتي",67
"Je suis stressé à cause des délais qui approchent",91
"كنفيق كل نهار وكنحس براسي مرهق",70
"I feel like I'm carrying too much on my shoulders",72
"القلق ماخلانيش نركز فخدمتي",78
"Je pense trop à mes responsabilités",77
"كنعيش فواحد الضغط اللي ماكيتساليش",67
"I can't stop overthinking everything",69
"Je suis épuisé émotionnellement",89
"كنحس براسي overwhelmed بزاف هاد السيمانة",58
"Je me sens submergé par les responsabilités",95
"كنحس براسي مقلق بزاف هاد الأيام",93
"أشعر أنني على وشك الانهيار",85
"I feel trapped by responsibilities",99
"كنفيق عيانة ومهلوكة",95
"Anxiety is taking over my mind",97
"I'm overwhelmed with work stress",85
"Je pense trop et je ne peux pas me concentrer",96
"القلق يسيطر على تفكيري",93
"القلق ماخلانيش نعيش",96
"I need a break from everything",86
"أعاني من ضغط نفسي كبير في العمل",90
"L'anxiété prend le dessus",98
"كنحس براسي غارقة فالمسؤوليات",90
"كنحس راسي غادي نطرطق",93
"ماقادراش ننعس من كثرة التفكير",95
"أفكر كثيرًا ولا أستطيع التركيز",86
"Je suis constamment fatigué",88
"بغيت غير شوية ديال الراحة",94
"لا أستطيع النوم بسبب التوتر",99
"J'ai besoin d'une pause",98
